epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,165.267,0.84377,1.42561,1.38701,0.60259,0.33333,0.32135,0.13743,1.73507,3.38163,3.7342,0.000827782,0.000827782,0.000827782
44,168.976,0.96192,1.39481,1.45969,0.34909,0.5,0.53896,0.18897,1.58289,3.3633,3.5496,0.000832902,0.000832902,0.000832902
45,172.497,0.73869,1.4959,1.31669,0.34909,0.5,0.53896,0.18897,1.58289,3.3633,3.5496,0.000837361,0.000837361,0.000837361
46,176.266,0.83939,1.26402,1.39673,0.46604,0.33333,0.46631,0.14157,1.61294,3.50848,3.33,0.00084116,0.00084116,0.00084116
47,179.939,0.8936,1.41204,1.3625,0.46604,0.33333,0.46631,0.14157,1.61294,3.50848,3.33,0.000844299,0.000844299,0.000844299
48,184.413,0.89952,1.2872,1.43619,0.5,0.32869,0.49438,0.12763,1.58974,3.55683,2.88139,0.000846778,0.000846778,0.000846778
49,187.993,0.9102,1.43778,1.48058,0.5,0.32869,0.49438,0.12763,1.58974,3.55683,2.88139,0.000848596,0.000848596,0.000848596
50,191.605,0.84932,1.34205,1.35086,0.36005,0.65079,0.52964,0.1973,1.55105,3.14621,2.60496,0.000849755,0.000849755,0.000849755
51,195.129,1.09665,1.41295,1.5431,0.36005,0.65079,0.52964,0.1973,1.55105,3.14621,2.60496,0.000841835,0.000841835,0.000841835
52,199.589,0.89376,1.47634,1.47419,0.43754,0.66667,0.49025,0.25487,1.42491,3.28175,2.46206,0.000825332,0.000825332,0.000825332
53,203.783,0.78977,1.22167,1.22833,0.43754,0.66667,0.49025,0.25487,1.42491,3.28175,2.46206,0.000808828,0.000808828,0.000808828
54,208.326,1.05552,1.46462,1.52048,0.48418,0.83333,0.55212,0.30875,1.70408,3.5488,2.81796,0.000792325,0.000792325,0.000792325
55,212.332,0.79119,1.4024,1.35304,0.48418,0.83333,0.55212,0.30875,1.70408,3.5488,2.81796,0.000775822,0.000775822,0.000775822
56,216.69,1.02849,1.4127,1.52068,0.63595,0.5,0.45264,0.20639,1.871,3.57955,2.97407,0.000759318,0.000759318,0.000759318
57,220.755,1.03335,1.55098,1.60706,0.63595,0.5,0.45264,0.20639,1.871,3.57955,2.97407,0.000742815,0.000742815,0.000742815
58,224.915,0.82181,1.39872,1.43859,0.63735,0.5,0.23288,0.09189,2.46429,4.08828,3.5545,0.000726312,0.000726312,0.000726312
59,229.352,0.83437,1.09741,1.26022,0.63735,0.5,0.23288,0.09189,2.46429,4.08828,3.5545,0.000709809,0.000709809,0.000709809
60,233.333,0.88076,1.4828,1.35867,0.59483,0.25,0.14707,0.0458,2.55142,4.23179,3.6727,0.000693305,0.000693305,0.000693305
61,237.587,0.82969,1.38175,1.41099,0.59483,0.25,0.14707,0.0458,2.55142,4.23179,3.6727,0.000676802,0.000676802,0.000676802
62,241.805,0.7462,1.15333,1.35361,0.58012,0.25,0.1827,0.07106,2.28078,4.38337,3.29744,0.000660299,0.000660299,0.000660299
63,246.237,1.01234,1.2453,1.46228,0.58012,0.25,0.1827,0.07106,2.28078,4.38337,3.29744,0.000643795,0.000643795,0.000643795
64,250.735,0.97971,1.12468,1.43255,0.55217,0.25,0.1295,0.04324,2.40156,4.19846,3.37143,0.000627292,0.000627292,0.000627292
65,255.34,0.75264,1.13632,1.23448,0.55217,0.25,0.1295,0.04324,2.40156,4.19846,3.37143,0.000610789,0.000610789,0.000610789
66,259.6,0.68195,1.14335,1.21923,0.28823,0.58333,0.37865,0.16358,1.9543,3.83782,3.13831,0.000594286,0.000594286,0.000594286
67,263.726,0.63587,0.97594,1.16491,0.28823,0.58333,0.37865,0.16358,1.9543,3.83782,3.13831,0.000577782,0.000577782,0.000577782
68,268.025,0.81054,1.11821,1.28345,0.13015,0.41667,0.1897,0.06208,1.82121,3.98764,2.85071,0.000561279,0.000561279,0.000561279
69,272.217,0.67011,0.92047,1.26767,0.13015,0.41667,0.1897,0.06208,1.82121,3.98764,2.85071,0.000544776,0.000544776,0.000544776
70,276.32,0.65141,1.1946,1.232,0.13761,0.44041,0.16005,0.04727,1.73608,4.12648,2.84664,0.000528272,0.000528272,0.000528272
71,280.561,0.79758,1.13837,1.31321,0.13761,0.44041,0.16005,0.04727,1.73608,4.12648,2.84664,0.000511769,0.000511769,0.000511769
72,284.651,0.78378,1.1557,1.25089,0.59581,0.25,0.28699,0.08413,1.78223,4.39742,2.86735,0.000495266,0.000495266,0.000495266
73,288.715,0.81429,1.46228,1.34987,0.59581,0.25,0.28699,0.08413,1.78223,4.39742,2.86735,0.000478762,0.000478762,0.000478762
74,293.339,0.6917,1.11162,1.27921,0.73989,0.5,0.31326,0.09494,1.69697,4.17611,3.05012,0.000462259,0.000462259,0.000462259
75,297.451,0.69586,1.02314,1.2124,0.73989,0.5,0.31326,0.09494,1.69697,4.17611,3.05012,0.000445756,0.000445756,0.000445756
76,301.618,1.01028,1.30654,1.59232,0.66637,0.5,0.34199,0.12876,1.86006,3.81149,3.24734,0.000429253,0.000429253,0.000429253
77,305.696,0.79377,1.0568,1.2635,0.66637,0.5,0.34199,0.12876,1.86006,3.81149,3.24734,0.000412749,0.000412749,0.000412749
78,310.456,0.68933,1.04864,1.234,0.66152,0.48071,0.36285,0.14982,1.46556,3.95377,2.93162,0.000396246,0.000396246,0.000396246
79,314.823,0.72227,1.10486,1.24598,0.66152,0.48071,0.36285,0.14982,1.46556,3.95377,2.93162,0.000379743,0.000379743,0.000379743
80,319.02,0.7943,1.69084,1.38365,0.73105,0.44316,0.33364,0.09564,1.602,3.53277,3.1003,0.000363239,0.000363239,0.000363239
81,323.497,0.76425,1.10518,1.27591,0.73105,0.44316,0.33364,0.09564,1.602,3.53277,3.1003,0.000346736,0.000346736,0.000346736
82,328.42,0.62326,0.95705,1.16623,0.67327,0.5,0.32168,0.12375,1.68085,3.45884,3.12545,0.000330233,0.000330233,0.000330233
